"","lsam","linc","educ","cacc","sacc","hous","life","occ"
"15758",3.91202300542815,10.5725981552678,13,2,1,4,1,7
"15759",3.91202300542815,10.5466563632898,13,2,1,4,1,7
"15760",3.91202300542815,10.5725981552678,13,2,1,4,1,7
"15761",3.91202300542815,16.0082863652927,16,4,1,3,1,6
"15762",3.91202300542815,15.9233026479689,16,4,1,3,1,6
"15763",3.91202300542815,15.9959336666857,16,4,1,3,1,6
"15764",3.91202300542815,16.0303621951507,16,4,1,3,1,6
"15765",3.91202300542815,15.9098468697544,16,4,1,3,1,6
"15766",8.02289686960146,12.1707045016924,16,4,2,3,1,5
"15767",8.02289686960146,12.1707045016924,16,4,2,3,1,5
"15768",8.02289686960146,12.1707045016924,16,4,2,3,1,5
"15769",8.02289686960146,12.1707045016924,16,4,2,3,1,5
"15770",8.02289686960146,12.1707045016924,16,4,2,3,1,5
"15771",3.91202300542815,9.85482238055485,12,2,1,3,2,7
"15772",3.91202300542815,10.0878902755339,12,2,1,3,2,7
"15773",3.91202300542815,10.128629106513,12,2,1,3,2,7
"15774",3.91202300542815,10.128629106513,12,2,1,3,2,7
"15775",3.91202300542815,9.68346412855816,12,2,1,3,2,7
"15776",4.0943445622221,10.8405608235928,16,4,2,3,1,6
"15777",4.0943445622221,10.8405608235928,16,4,2,3,1,6
"15778",4.0943445622221,10.8405608235928,16,4,2,3,1,6
"15779",4.0943445622221,10.8405608235928,16,4,2,3,1,6
"15780",4.0943445622221,10.8405608235928,16,4,2,3,1,6
"15781",11.2904067184249,11.5716659599928,17,2,3,3,1,6
"15782",11.2904067184249,11.5621917062731,17,2,3,3,1,6
"15783",11.2904067184249,11.5716659599928,17,2,3,3,1,6
"15784",11.2904067184249,11.5716659599928,17,2,3,3,1,6
"15785",11.2904067184249,11.5621917062731,17,2,3,3,1,6
"15786",3.91202300542815,11.0029328275081,8,2,1,3,1,4
"15787",3.91202300542815,11.0029328275081,8,2,1,3,1,4
"15788",3.91202300542815,11.0029328275081,8,2,1,3,1,4
"15789",3.91202300542815,11.0029328275081,8,2,1,3,1,4
"15790",3.91202300542815,11.0029328275081,8,2,1,3,1,4
"15791",6.30991827822652,10.8405608235928,12,2,3,3,1,2
"15792",6.30991827822652,10.8405608235928,12,2,3,3,1,2
"15793",6.30991827822652,10.8405608235928,12,2,3,3,1,2
"15794",6.30991827822652,10.8207777847434,12,2,3,3,1,2
"15795",6.30991827822652,10.8207777847434,12,2,3,3,1,2
"15796",4.38202663467388,10.4926621427131,10,3,2,3,1,5
"15797",4.24849524204936,10.5200236307242,10,3,2,3,1,5
"15798",4.38202663467388,10.6466146654011,10,3,2,3,1,5
"15799",4.38202663467388,10.4926621427131,10,3,2,3,1,5
"15800",4.24849524204936,10.5725981552678,10,3,2,3,1,5
"15801",3.91202300542815,10.7374830416835,12,2,1,3,1,7
"15802",3.91202300542815,10.7155282630365,12,2,1,3,1,7
"15803",3.91202300542815,10.7155282630365,12,2,1,3,1,7
"15804",3.91202300542815,10.7374830416835,12,2,1,3,1,7
"15805",3.91202300542815,10.7374830416835,12,2,1,3,1,7
"15806",11.5134253400119,14.1230320217423,16,3,2,3,1,6
"15807",11.5134253400119,14.1448502756829,16,3,2,3,1,6
